Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
0,1,290000.0,12.0,87.0,2,1.0,15.0,1.0,0,64945937.85,2632,2.0,2.0,2,51.0873789,4.3667216,294135404.5
0,1,219000.0,61.0,120.0,2,1.0,3.0,2.0,0,155464332.8,834,2.0,1.0,2,51.3233812,4.948461,735192914.1
0,1,349000.0,11.0,111.0,2,1.0,15.0,2.0,0,83026052.82,799,2.0,1.0,2,51.0957176,4.5061988,337057711.0
0,1,269000.0,17.0,88.0,2,1.0,5.0,2.0,0,57281818.89,263,2.0,1.0,3,49.6827625,5.811919,586341258.4
1,2,319226.0,0.0,98.0,3,1.0,0.0,1.0,448,237338185.8,318,4.0,0.75,3,50.6530409,3.445164,1136160464.0
1,2,180000.0,49.0,196.0,3,2.0,9.0,5.0,113,588839895.0,2852,3.0,1.0,3,50.6412964,5.6111443,2804560594.0
1,2,195000.0,49.0,207.0,5,2.0,15.0,3.0,117,21174500.57,56,2.0,0.75,3,50.2390245,5.8082072,118511048.0
1,2,215000.0,49.0,100.0,3,1.0,0.0,2.0,121,372481433.6,1157,3.0,0.75,2,50.9429755,4.0396424203486,1573573009.0
0,1,250000.0,0.0,59.0,1,1.0,10.0,2.5,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,595000.0,54.0,322.0,3,2.0,15.0,3.0,2800,27262405.27,225,3.0,1.0,2,50.7903918,3.5082669,119492827.8
1,4,699000.0,18.0,426.0,6,0.0,15.0,2.0,1904,23628296.4,176,4.0,2.0,2,50.88594765,5.1564917481959,107193874.8
0,1,465000.0,20.0,156.0,2,1.0,0.0,2.0,0,357566926.3,787,2.0,2.0,2,50.930358,5.3368383970676,1486443144.0
0,1,1250000.0,7.0,200.0,3,2.0,30.0,1.0,0,357566926.3,787,2.0,2.0,2,50.930358,5.3368383970676,1486443144.0
1,2,549000.0,52.0,211.0,3,1.0,0.0,5.0,2563,112824473.1,656,4.0,0.0,2,51.04153335,5.2835531292784,542312631.8
1,2,549000.0,0.0,192.0,4,0.0,16.0,2.5,0,1096990579.0,1709,3.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,350000.0,39.0,283.0,5,2.0,15.0,3.0,569,119092970.4,809,4.0,1.0,3,50.5847922,5.6469688,458037483.4
0,1,325000.0,0.0,81.0,1,1.0,13.0,2.5,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,570000.0,29.0,212.0,3,1.0,0.0,1.0,345,49689092.12,601,3.0,2.0,2,51.02422075,4.7826403117004,200912715.2
1,2,460000.0,0.0,157.0,4,1.0,15.0,2.5,474,139251949.2,474,3.0,0.75,2,50.8513634,3.5955691,585889658.3
1,2,377000.0,125.0,199.0,3,1.0,0.0,3.0,400,119024797.8,610,3.0,0.75,2,50.87266065,4.5545949589597,426597171.3
