Locality	PopulationDensity	Taxes	Income	Longitude	Latitude
2288	409	52582505.55	217749002.4	4.737061439	51.16210045
2290	291	32916150.68	142888654.3	4.769482	51.2023448
2300	834	155464332.8	735192914.1	4.948461	51.3233812
2310	268	42064484.36	198814857.6	4.760708	51.3495046
2320	211	69018902.59	357968968.6	4.744065641	51.39574085
2321	211	69018902.59	357968968.6	4.737254858	51.46092495
2322	211	69018902.59	357968968.6	4.807079049	51.43155825
2323	211	69018902.59	357968968.6	4.808593088	51.3975366
2328	211	69018902.59	357968968.6	4.8051679	51.4743516
2330	199	34260405.07	151360295.7	4.8627541	51.3580597
2340	498	79281934.8	336354913.9	4.837570452	51.3134921
2350	997	55090825.05	224815460.7	4.8878026	51.3129153
2360	379	55631790.73	262528010.7	4.9817086	51.3178319
2370	243	43152967.78	219211290.1	5.0864557	51.3202315
2380	163	41472115.42	245223600.2	5.019812292	51.3808625
2381	163	41472115.42	245223600.2	5.018244542	51.41206885
2382	163	41472115.42	245223600.2	5.048806967	51.45063155
2387	405	5645178.712	40961052.74	4.900405171	51.41275043
2390	312	67030921.84	283196025.8	4.7149828	51.3001124
2400	360	34201698.87	164153741.4	5.1155267	51.1840421
2430	395	63975407.71	289499601.8	4.997289028	51.10171295
2431	395	63975407.71	289499601.8	4.9552253	51.0801317
2440	384	172561324.7	733566202	4.9903187	51.1610826
2450	285	40787812.13	183456521.1	5.0772388	51.1317433
2460	272	84481153.01	355709830.1	4.967812	51.2407915
2470	245	42093837.59	197573044.6	5.0843883	51.2675862
2480	360	34201698.87	164153741.4	5.113243	51.2395713
2490	322	85273670.73	391886114.2	5.193773076	51.171804
2491	322	85273670.73	391886114.2	5.164821446	51.13368515
2500	766	162169925.4	668984722.5	4.603382811	51.0929433
2520	453	96943253.01	383226756.5	4.5967162	51.1813951
2530	668	72176740.34	272832077	4.510406865	51.1596941
2531	668	72176740.34	272832077	4.5226229	51.1753099
2540	1397	57113279.15	200648504	4.477387	51.1486117
2547	1505	48987524.99	181531695.1	4.4922187	51.1268305
2550	911	118259556.8	449618719.2	4.4456359	51.134377
2560	605	97426434.65	417070112.4	4.692287577	51.1364316
2570	799	83026052.82	337057711	4.5061988	51.0957176
2580	538	79581423.28	331209131.7	4.663080741	51.06299735
2590	492	48835036.25	207937413.4	4.664038763	51.10303735
2600	2666	1732023153	7913652026	4.431702639	51.1918493
2610	2666	1732023153	7913652026	4.387630961	51.1638451
2620	2262	46767171.92	198766777.4	4.3420555	51.1442105
2627	1101	39933386.71	163263742.9	4.3361875	51.1245635
2630	1351	83283148.15	321603149.4	4.3870241	51.133297
2640	3416	130084207.8	510455304.8	4.4593335	51.1741789
2650	2639	124777480.9	475935701.1	4.4384284	51.1574786
2660	2666	1732023153	7913652026	4.351150217	51.1757824
2800	1358	375498087.8	1536825130	4.4713212	51.02803335
2801	1358	375498087.8	1536825130	4.412476256	51.0519355
2811	1358	375498087.8	1536825130	4.421191052	51.01166405
2812	1358	375498087.8	1536825130	4.518299973	51.0083206
2820	529	97016004.98	346695619	4.537821778	51.0261294
2830	1032	106004475.9	453126635.7	4.3723517	51.0565194
2840	771	76423734.6	305209938.5	4.405889959	51.1044854
2845	2051	39241299.37	174264420.5	4.3303396	51.1098649
2850	2632	64945937.85	294135404.5	4.3667216	51.0873789
2860	603	104334551.2	410347464.2	4.511427814	51.06232435
2861	603	104334551.2	410347464.2	4.5799614	51.0624913
2870	549	127537401.5	507925594.2	4.313610863	51.0452687
2880	478	106037549.3	425259824.3	4.242326005	51.0924649
2890	549	127537401.5	507925594.2	4.251921393	51.0451478
2900	1174	168145042.6	685204898.5	4.4980446	51.2516344
2910	413	65128639.16	320940672.1	4.4701309	51.4677957
2920	331	85788927.43	359653537.7	4.4763255	51.3832723
2930	997	198330518.3	806119012.5	4.489307	51.2930933
2940	879	91930551.65	371022443.1	4.4046996	51.3066168
2950	746	144685456.7	584421466.6	4.431231831	51.332759
2960	335	134420695	557776664.8	4.597238179	51.3347679
2970	563	121192793.3	467064258.9	4.5556038	51.2624856
2980	583	113347507.5	452642956.9	4.645556534	51.2428446
2990	244	81736856.91	361632373.4	4.6428328	51.3994474
3000	1809	535581710.6	1962352502	4.692990322	50.8812533
3001	1809	535581710.6	1962352502	4.693130751	50.85172925
3010	1809	535581710.6	1962352502	4.730761495	50.88991545
3012	1809	535581710.6	1962352502	4.7136294	50.9095362
3018	1809	535581710.6	1962352502	4.7001214	50.926428
3020	703	138454731.1	487922441	4.672714	50.9079329
3040	252	57421686.48	208694144.2	4.58285874	50.7950895
3050	368	79147629.98	272600779.2	4.6678971	50.8217682
3051	368	79147629.98	272600779.2	4.645828979	50.8051035
3052	368	79147629.98	272600779.2	4.705679661	50.8281673
3053	368	79147629.98	272600779.2	4.728370694	50.81785645
3054	368	79147629.98	272600779.2	4.685271359	50.82408165
3060	342	59916552.66	215405860.2	4.6322907	50.8706469
3061	342	59916552.66	215405860.2	4.590504365	50.8419887
3070	610	119024797.8	426597171.3	4.536470704	50.88326665
3071	610	119024797.8	426597171.3	4.575086413	50.9104969
3078	610	119024797.8	426597171.3	4.554594959	50.87266065
3080	686	134856356.5	468728020.5	4.545208432	50.8110528
3090	577	155496804.7	547993512	4.5385226	50.7729254
3110	475	95099083.65	354787566	4.714320596	50.9543637
3111	475	95099083.65	354787566	4.768330689	50.9482552
3118	475	95099083.65	354787566	4.702687723	50.9707189
3120	704	76024182.36	301451947	4.6755134	50.9900457
3128	704	76024182.36	301451947	4.750536766	51.0075269
3130	601	49689092.12	200912715.2	4.782640312	51.02422075
3140	717	92277677.39	324167535.7	4.6265551	51.0049242
3150	505	79327070.02	305029070.3	4.6386824	50.9769286
3190	711	72973072.73	272750040.7	4.575800525	50.97828585
3191	711	72973072.73	272750040.7	4.5553278	50.9925865
3200	494	138518887.9	576321514.8	4.8245687	50.9841594
3201	494	138518887.9	576321514.8	4.885698962	51.0118664
3202	494	138518887.9	576321514.8	4.897049427	50.97591095
3210	334	91240565.99	330256773.5	4.775684751	50.89891075
3211	334	91240565.99	330256773.5	4.890888586	50.8721422
3212	334	91240565.99	330256773.5	4.789408665	50.87211325
3220	263	57717932.34	214189547.2	4.755729672	50.92172015
3221	263	57717932.34	214189547.2	4.833804539	50.9470265
3270	469	97450027.68	431798821.2	4.954732777	50.9725745
3271	469	97450027.68	431798821.2	4.977084579	51.0278406
3272	469	97450027.68	431798821.2	4.924667682	50.98948425
3290	425	107670821.4	453569281.2	5.0964572	51.0392379
3293	425	107670821.4	453569281.2	5.029940493	50.9776976
3294	425	107670821.4	453569281.2	5.024746529	51.0071839
3300	503	148816609	636385296.1	4.933923959	50.7846322
