Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
HOUSE,9920,HOUSE,1987,215000,New Price,2,115,None,0,1,0,D,0,None,0,None,0,None,0,None,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9920/20243268
HOUSE,2800,HOUSE,None,350000,New classified,3,135,1,0,1,0,D,0,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20365162
HOUSE,6920,HOUSE,2023,249900,New classified,3,130,1,0,1,0,B,1,1,1,1,329,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20365160
HOUSE,9230,HOUSE,1968,395000,New classified,3,141,1,0,1,0,C,1,37,1,166,428,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20360977
HOUSE,2800,HOUSE,None,350000,New classified,3,135,1,0,1,0,D,0,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20365162
HOUSE,2560,HOUSE,1965,475000,New classified,3,140,1,0,1,1,C,1,20,1,745,1213,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/kessel/2560/20361040
HOUSE,6920,HOUSE,2023,249900,New classified,3,130,1,0,1,0,B,1,1,1,1,329,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20365160
APARTMENT,1080,APARTMENT,None,195000,New classified,1,70,None,0,1,0,C,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20365156
APARTMENT,2140,APARTMENT,2010,575000,New classified,2,155,1,0,1,0,B,1,48,1,380,0,2,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/20365155
HOUSE,3040,HOUSE,2002,425000,New classified,2,128,None,0,1,0,E,0,None,0,None,667,4,0,None,https://www.immoweb.be/en/classified/house/for-sale/ottenburg/3040/20365152
APARTMENT,9170,APARTMENT,2024,286000,New classified,1,75,None,0,1,0,A,1,18,0,None,0,2,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/sint-gillis-waas/9170/20365147
HOUSE,2180,HOUSE,1932,585000,New classified,4,197,1,0,1,0,C,1,None,1,200,414,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/antwerpen%20ekeren/2180/20365146
HOUSE,2230,HOUSE,1935,485000,New classified,3,237,0,0,2,0,C,1,None,0,None,2035,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/ramsel/2230/20365153
